id,zap_id,url,type,price,min_price,max_price,min_area,max_area,address,district,city,state,created_at,updated_at,quant_quartos,quant_vagas,quant_suites,latitude,longitude,latitude_formatada,longitude_formatada
188368,6788227,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+65m2+RS750000/ID-6788227/?paginaoferta=32222,Apartamento,750000.00,0.00,0.00,65,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 08:37:46","2016-12-11 08:37:46",2,1,1,-23.6013493,-46.6700135,0.62440298519,0.33772915555
191963,12079129,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+152m2+RS1700000/ID-12079129/?paginaoferta=32843,Apartamento,1700000.00,0.00,0.00,152,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 08:54:39","2016-12-11 08:54:39",3,3,1,-23.6013493,-46.6700135,0.62440298519,0.33772915555
198075,10807179,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+180m2+RS2100000/ID-10807179/?paginaoferta=33899,Apartamento,2100000.00,0.00,0.00,180,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 09:23:30","2016-12-11 09:23:30",4,4,4,-23.6013493,-46.6700135,0.62440298519,0.33772915555
201972,11867873,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+142m2+RS2075000/ID-11867873/?paginaoferta=34576,Apartamento,2075000.00,0.00,0.00,142,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 09:41:53","2016-12-11 09:41:53",4,4,2,-23.6013493,-46.6700135,0.62440298519,0.33772915555
203433,10939375,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+331m2+RS3500000/ID-10939375/?paginaoferta=34833,Apartamento,3500000.00,0.00,0.00,331,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 09:49:19","2016-12-11 09:49:19",4,3,4,-23.6013493,-46.6700135,0.62440298519,0.33772915555
203954,11681692,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+65m2+RS850000/ID-11681692/?paginaoferta=34916,Apartamento,850000.00,0.00,0.00,65,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 09:51:45","2016-12-11 09:51:45",2,2,0,-23.6013493,-46.6700135,0.62440298519,0.33772915555
204557,6110118,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+231m2+RS2620000/ID-6110118/?paginaoferta=35030,Apartamento,2620000.00,0.00,0.00,231,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 09:54:49","2016-12-11 09:54:49",3,4,3,-23.6013493,-46.6700135,0.62440298519,0.33772915555
205339,12152209,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+152m2+RS1700000/ID-12152209/?paginaoferta=35155,Apartamento,1700000.00,0.00,0.00,152,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 09:58:36","2016-12-11 09:58:36",3,3,1,-23.6013493,-46.6700135,0.62440298519,0.33772915555
212547,11713288,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+120m2+RS1100000/ID-11713288/?paginaoferta=36406,Apartamento,1100000.00,0.00,0.00,120,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 10:34:23","2016-12-11 10:34:23",3,2,1,-23.6013493,-46.6700135,0.62440298519,0.33772915555
219349,11253454,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+56m2+RS635000/ID-11253454/?paginaoferta=37580,Apartamento,635000.00,0.00,0.00,56,0,"Rua Tuim",MOEMA,"Sao Paulo",SP,"2016-12-11 11:05:45","2016-12-11 11:05:45",2,1,0,-23.6013493,-46.6700135,0.62440298519,0.33772915555
